location,species,num,start_date,start_time,start_temp_F,start_weather,end_date,end_time,end_temp_F,end_weather,sun_exposure,plant_location,lawn_dist_ft,bird_dist_ft,bird_type,building_dist_ft,road_dist_ft,tree_dist_ft,mw_density,nearby_mw_species,patch_diversity,patch_flowering,patch_native,num_mw_sp,total_mw_stems,tub_stems,syr_stems,inc_stems,cur_stems,100m_land_cover,250m_land_cover,250m_canopy,100m_canopy,250m_imperv_surf,100m_imperv_surf,height_cm,phenology,nearby_total,nearby_flowering,flower_identity,tallest_identity,tallest_height_cm,honeydew,sooty_mold,powdery_mildew,cat_age,cat_length_mm,cat_trt,cat_survival,cat_feeding,control_eaten,open_body_visible,interval_myzo,num_myzo,interval_nerii,num_nerii,myzo_leaf,nerii_leaf,interval_other_aphid,num_other_aphid,other_aphid_ID,interval_total_aphid,num_total_aphid,start_fly_poll,start_mite_herb,start_bug_herb,start_ant_pred,start_beetle_herb,start_spider_pred,start_mon_egg,start_mon_larv_herb,start_moth_poll,start_parasitoid,start_lb_pred,start_lb_larv_pred,start_beetle_larv_herb,start_lacewing_egg,start_lacewing_adult_poll,start_earwig_pred,start_tree_cricket_pred,start_katydid_nymph_herb,start_assassin_pred,start_misc_worm,start_wasp_pred,start_bee_poll,start_lacewing_larv_pred,start_fly_larv_pred,start_opiliones_pred,start_sb_pred,end_bee_poll,end_fly_poll,end_beetle_herb,end_lb_pred,end_ant_pred,end_bug_pred,end_bug_herb,end_mon_larv_herb,end_mon_egg,end_lacewing_egg,end_earwig_pred,end_misc_worm,end_moth_poll,end_beetle_larv_herb,end_lacewing_larv_pred,end_spider_pred,end_assassin_pred,end_unk_cat_herb,end_bush_cricket_pred,end_wasp_pred,end_lb_larv_pred,end_fly_larv_pred,end_opiliones_pred,end_tree_cricket_pred,end_sb_pred,end_parasitoid
ADB,SYR,1,6/24/25,11:40,88,sunny,6/25/25,10:50,83,sunny,full,edge,16,na,na,30,2,15,3,SYR,13,6,25,3,85,50,30,5,0,developed low intensity,developed low intensity,21.77,18.29,27.44,30.6,120,pre-flowering,2,0,na,Purple coneflower,125,n,n,n,11,10,control,y,0,na,n,<50,50,0,0,1,0,0,0,na,<50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADB,SYR,1,6/24/25,11:40,88,sunny,6/25/25,10:50,83,sunny,full,edge,15,na,na,30,2,15,3,SYR,13,6,25,3,85,50,30,5,0,developed low intensity,developed low intensity,21.77,18.29,27.44,30.6,120,pre-flowering,2,0,na,Purple coneflower,125,n,n,n,11,10,open,y,0,na,n,<50,50,0,0,0,0,0,0,na,<50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADB,SYR,2,6/24/25,11:44,88,sunny,6/25/25,10:51,83,sunny,partial,edge,11,na,na,25,8,10,6,SYR,13,6,25,3,85,50,30,5,0,developed low intensity,developed low intensity,21.77,18.29,27.44,30.6,170,flowering,5,2,"Purple coneflower, goldenrod",Common milkweed,168,n,n,n,11,13,control,y,0,na,n,50-200,200,0,0,8,0,0,0,na,50-200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADB,SYR,2,6/24/25,11:44,88,sunny,6/25/25,10:51,83,sunny,partial,edge,10,na,na,25,8,10,6,SYR,13,6,25,3,85,50,30,5,0,developed low intensity,developed low intensity,21.77,18.29,27.44,30.6,170,flowering,5,2,"Purple coneflower, goldenrod",Common milkweed,168,n,n,n,11,14,open,n,0,na,n,50-200,200,0,0,6,0,0,0,na,50-200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADB,SYR,3,7/1/25,9:01,72,raining,7/2/25,9:19,73,sunny,full,edge,8,na,na,20,7,10,4,SYR,13,6,25,3,85,50,30,5,0,developed low intensity,developed low intensity,21.77,18.29,27.44,30.6,148,vegetative,3,2,"Purple coneflower, common milkweed",Common milkweed,150,n,n,n,13,9,control,y,0,na,n,<50,50,0,0,3,0,0,0,na,<50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADB,SYR,3,7/1/25,9:01,72,raining,7/2/25,9:19,73,sunny,full,edge,7,na,na,20,7,10,4,SYR,13,6,25,3,85,50,30,5,0,developed low intensity,developed low intensity,21.77,18.29,27.44,30.6,148,vegetative,3,2,"Purple coneflower, common milkweed",Common milkweed,150,n,n,n,13,6,open,n,0,na,n,<50,50,0,0,3,0,0,0,na,<50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADB,SYR,4,7/1/25,9:06,72,raining,7/2/25,9:24,73,sunny,full,edge,11,na,na,25,4,15,4,SYR,13,6,25,3,85,50,30,5,0,developed low intensity,developed low intensity,21.77,18.29,27.44,30.6,116,flowering,3,2,"Purple coneflower, common milkweed",purple coneflower,149,n,n,n,13,18,control,y,1,na,n,<50,50,0,0,0,0,0,0,na,<50,50,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADB,SYR,4,7/1/25,9:06,72,raining,7/2/25,9:24,73,sunny,full,edge,10,na,na,25,4,15,4,SYR,13,6,25,3,85,50,30,5,0,developed low intensity,developed low intensity,21.77,18.29,27.44,30.6,116,flowering,3,2,"Purple coneflower, common milkweed",purple coneflower,149,n,n,n,13,16,open,n,0,na,n,<50,50,0,0,0,0,0,0,na,<50,50,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADB,SYR,1,7/15/25,10:25,70,cloudy,7/16/25,11:01,81,cloudy,full,edge,17,na,na,30,2,15,3,SYR,13,6,25,3,85,50,30,5,0,developed low intensity,developed low intensity,21.77,18.29,27.44,30.6,121,fruiting,2,1,Purple coneflower,Purple coneflower,139,n,n,n,10,6,control,n,0,"fully gone, caterpillar seemed sick (prolapse?) at setup",n,10-May,10,0,0,0,0,0,0,na,<50,50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADB,SYR,1,7/15/25,10:25,70,cloudy,7/16/25,11:01,81,cloudy,full,edge,18,na,na,30,2,15,3,SYR,13,6,25,3,85,50,30,5,0,developed low intensity,developed low intensity,21.77,18.29,27.44,30.6,121,fruiting,2,1,Purple coneflower,Purple coneflower,139,n,n,n,10,5,open,n,0,na,n,10-May,10,0,0,0,0,0,0,na,<50,50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADB,SYR,5,7/15/25,10:21,70,cloudy,7/16/25,10:59,81,cloudy,full ,edge,9,na,na,20,8,15,2,SYR,13,6,25,3,85,50,30,5,0,developed low intensity,developed low intensity,21.77,18.29,27.44,30.6,95,vegetative,2,1,Purple coneflower,Purple coneflower,135,n,n,n,10,9,control,y,1,na,n,1,1,0,0,0,0,0,0,na,<50,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADB,SYR,5,7/15/25,10:21,70,cloudy,7/16/25,10:59,81,cloudy,full ,edge,8,na,na,20,8,15,2,SYR,13,6,25,3,85,50,30,5,0,developed low intensity,developed low intensity,21.77,18.29,27.44,30.6,95,vegetative,2,1,Purple coneflower,Purple coneflower,135,n,n,n,10,6,open,y,0,na,n,1,1,0,0,0,0,0,0,na,<50,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADB,SYR,2,7/29/25,8:55,74,cloudy,7/30/25,12:30,86,sunny,partial,edge,13,na,na,25,8,10,6,SYR,13,6,25,3,85,50,30,5,0,developed low intensity,developed low intensity,21.77,18.29,27.44,30.6,185,fruiting,8,1,Purple coneflower,Tall goldenrod,179,n,n,n,8,8,control,n,0,n,n,<50,50,0,0,0,0,0,0,na,<50,50,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADB,SYR,2,7/29/25,8:55,74,cloudy,7/30/25,12:30,86,sunny,partial,edge,12,na,na,25,8,10,6,SYR,13,6,25,3,85,50,30,5,0,developed low intensity,developed low intensity,21.77,18.29,27.44,30.6,185,fruiting,8,1,Purple coneflower,Tall goldenrod,179,n,n,n,8,7,open,n,1,na,y,<50,50,0,0,0,0,0,0,na,<50,50,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADB,SYR,3,7/29/25,9:02,74,cloudy,7/30/25,12:32,86,sunny,full,edge,10,na,na,20,7,10,4,SYR,13,6,25,3,85,50,30,5,0,developed low intensity,developed low intensity,21.77,18.29,27.44,30.6,162,vegetative,4,1,Purple coneflower,Grass,150,n,n,n,8,7,control,y,1,na,n,0,0,0,0,0,0,0,0,na,0,0,0,0,1,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADB,SYR,3,7/29/25,9:02,74,cloudy,7/30/25,12:32,86,sunny,full,edge,9,na,na,20,7,10,4,SYR,13,6,25,3,85,50,30,5,0,developed low intensity,developed low intensity,21.77,18.29,27.44,30.6,162,vegetative,4,1,Purple coneflower,Grass,150,n,n,n,8,9,open,n,0,na,n,0,0,0,0,0,0,0,0,na,0,0,0,0,1,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADB,SYR,4,8/12/25,8:13,71,sunny,8/13/25,9:24,76,raining,full,edge,13,na,na,25,4,15,4,SYR,13,6,25,3,85,50,30,5,0,developed low intensity,developed low intensity,21.77,18.29,27.44,30.6,123,fruiting,3,1,purple coneflower,Purple coneflower,150,y,n,n,7,9,control,y,1,na,n,0,0,200-500,500,0,20,0,0,na,200-500,500,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADB,SYR,4,8/12/25,8:13,71,sunny,8/13/25,9:24,76,raining,full,edge,12,na,na,25,4,15,4,SYR,13,6,25,3,85,50,30,5,0,developed low intensity,developed low intensity,21.77,18.29,27.44,30.6,123,fruiting,3,1,purple coneflower,Purple coneflower,150,y,n,n,7,7,open,y,2,na,n,0,0,200-500,500,0,50,0,0,na,200-500,500,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADB,SYR,5,8/12/25,8:19,71,sunny,8/13/25,9:22,76,raining,full ,edge,11,na,na,20,8,15,2,SYR,13,6,25,3,85,50,30,5,0,developed low intensity,developed low intensity,21.77,18.29,27.44,30.6,96,vegetative,3,1,purple coneflower,Purple coneflower,136,n,n,n,7,11,control,y,1,na,n,1,1,50-200,200,0,0,0,0,na,50-200,200,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADB,SYR,5,8/12/25,8:19,71,sunny,8/13/25,9:22,76,raining,full ,edge,10,na,na,20,8,15,2,SYR,13,6,25,3,85,50,30,5,0,developed low intensity,developed low intensity,21.77,18.29,27.44,30.6,96,vegetative,3,1,purple coneflower,Purple coneflower,136,n,n,n,7,12,open,y,0,na,n,1,1,50-200,200,0,0,0,0,na,50-200,200,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AN,INC,1,6/24/25,9:28,68,sunny,6/25/25,10:02,75,sunny,shade,edge,0,30,feeder,3,55,20,1,INC,12,6,50,3,115,5,100,10,0,pasture/hay,pasture/hay,1.04,0,3.55,7.14,78,pre-flowering,4,0,na,Goldenrod,73,n,n,n,11,10,control,y,3,na,n,0,0,0,0,0,0,0,0,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AN,INC,1,6/24/25,9:28,68,sunny,6/25/25,10:02,75,sunny,shade,edge,0,30,feeder,3,55,20,1,INC,12,6,50,3,115,5,100,10,0,pasture/hay,pasture/hay,1.04,0,3.55,7.14,78,pre-flowering,4,0,na,Goldenrod,73,n,n,n,11,11,open,n,1,na,n,0,0,0,0,0,0,0,0,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
