start_date,start_time,end_date,end_time,location,species,number,length_mm,treatment,survival
6/24/25,11:40,6/25/25,10:50,ADB,SYR,1,10,open,y
6/24/25,11:40,6/25/25,10:50,ADB,SYR,1,10,control,y
6/24/25,11:44,6/25/25,10:51,ADB,SYR,2,14,open,n
6/24/25,11:44,6/25/25,10:51,ADB,SYR,2,13,control,y
6/24/25,9:08,6/25/25,9:54,AN,SYR,1,15,open,y
6/24/25,9:08,6/25/25,9:54,AN,SYR,1,14,control,y
6/24/25,9:21,6/25/25,9:57,AN,SYR,2,15,open,y
6/24/25,9:21,6/25/25,9:57,AN,SYR,2,15,control,y
6/24/25,9:28,6/25/25,10:02,AN,INC,1,11,open,n
6/24/25,9:28,6/25/25,10:02,AN,INC,1,10,control,y
6/24/25,9:34,6/25/25,10:03,AN,INC,2,10,open,y
6/24/25,9:34,6/25/25,10:03,AN,INC,2,10,control,y
6/24/25,10:11,25-Jun,10:20,AW,INC,1,14,open,n
6/24/25,10:11,25-Jun,10:20,AW,INC,1,13,control ,y
6/24/25,10:16,25-Jun,10:18,AW,INC,2,11,open,y
6/24/25,10:16,25-Jun,10:18,AW,INC,2,10,control ,y
6/24/25,10:26,25-Jun,10:22,AW,SYR,1,10,open,n
6/24/25,10:26,25-Jun,10:22,AW,SYR,1,11,control ,y
6/24/25,10:30,25-Jun,10:24,AW,SYR,2,16,open,y
6/24/25,10:30,25-Jun,10:24,AW,SYR,2,13,control ,y
6/24/25,10:43,25-Jun,10:32,EB,SYR,1,11,open,y
6/24/25,10:43,25-Jun,10:32,EB,SYR,1,17,control ,y
6/24/25,10:54,25-Jun,10:31,EB,SYR,2,15,open,n
6/24/25,10:54,25-Jun,10:31,EB,SYR,2,14,control ,y
6/24/25,11:01,25-Jun,10:38,EB,INC,1,15,open,y
6/24/25,11:01,25-Jun,10:38,EB,INC,1,12,control ,y
6/24/25,11:07,25-Jun,10:35,EB,INC,2,13,open,n
6/24/25,11:07,25-Jun,10:35,EB,INC,2,15,control ,y
6/24/25,12:14,6/25/25,11:03,JY,SYR,1,11,open,n
6/24/25,12:14,6/25/25,11:03,JY,SYR,1,17,control,y
6/24/25,12:19,6/25/25,11:06,JY,SYR,2,13,open,y
6/24/25,12:19,6/25/25,11:06,JY,SYR,2,16,control,y
6/24/25,12:25,6/25/25,11:09,JY,INC,1,12,open,n
6/24/25,12:25,6/25/25,11:09,JY,INC,1,13,control,y
6/24/25,12:29,6/25/25,11:05,JY,INC,2,14,open,n
6/24/25,12:29,6/25/25,11:05,JY,INC,2,9,control,y
7/1/25,9:01,7/2/25,9:19,ADB,SYR,3,6,open,n
7/1/25,9:01,7/2/25,9:19,ADB,SYR,3,9,control,y
7/1/25,9:06,7/2/25,9:24,ADB,SYR,4,16,open,n
7/1/25,9:06,7/2/25,9:24,ADB,SYR,4,18,control,y
7/1/25,9:46,7/2/25,9:43,JY,SYR,3,6,open,y
7/1/25,9:46,7/2/25,9:43,JY,SYR,3,7,control,n
7/1/25,9:49,7/2/25,9:45,JY,SYR,4,11,open,y
7/1/25,9:49,7/2/25,9:45,JY,SYR,4,12,control,n
7/1/25,9:52,7/2/25,9:47,JY,INC,3,9,open,n
7/1/25,9:52,7/2/25,9:47,JY,INC,3,6,control,y
7/1/25,9:57,7/2/25,9:50,JY,INC,4,6,open,y
7/1/25,9:57,7/2/25,9:50,JY,INC,4,11,control,y
7/1/25,11:09,7/2/25,10:14,LP (new),SYR,1,6,open,y
7/1/25,0.464583333,45840,0.426388889,LP (new),SYR,1,9,control,y
7/1/25,11:13,7/2/25,10:15,LP (new),SYR,2,10,open,y
7/1/25,11:13,7/2/25,10:15,LP (new),SYR,2,11,control,y
7/1/25,10:50,7/2/25,10:04,LP (old),SYR,1,5,open,y
7/1/25,10:50,7/2/25,10:04,LP (old),SYR,1,5,control,y
7/1/25,10:56,7/2/25,10:06,LP (old),SYR,2,5,open,n
7/1/25,10:56,7/2/25,10:06,LP (old),SYR,2,9,control,n
7/1/25,10:30,7/2/25,10:26,SHart,SYR,1,8,open,y
7/1/25,10:30,7/2/25,10:26,SHart,SYR,1,8,control,y
7/1/25,10:34,7/2/25,10:25,SHart,SYR,2,10,open,y
7/1/25,10:34,7/2/25,10:25,SHart,SYR,2,8,control,y
7/1/25,12:44,7/2/25,11:29,SHerm,INC,1,10,open,y
7/1/25,12:44,7/2/25,11:29,SHerm,INC,1,11,control,y
7/1/25,11:41,7/2/25,11:07,SM,INC,1,9,open,n
7/1/25,11:41,7/2/25,11:07,SM,INC,1,10,control,n
7/1/25,11:47,7/2/25,11:11,SM,INC,2,10,open,y
7/1/25,11:47,7/2/25,11:11,SM,INC,2,9,control,y
7/1/25,9:20,7/2/25,9:31,TS,INC,1,9,open,n
7/1/25,9:20,7/2/25,9:31,TS,INC,1,8,control,y
7/1/25,9:26,7/2/25,9:32,TS ,INC,2,12,open,y
7/1/25,9:26,7/2/25,9:32,TS ,INC,2,8,control,y
7/8/25,12:29,7/9/25,11:36,AN,INC,3,8,open,n
7/8/25,12:29,7/9/25,11:36,AN,INC,3,11,control ,y
7/8/25,12:31,7/9/25,11:38,AN,INC,4,11,open,y
7/8/25,12:31,7/9/25,11:38,AN,INC,4,10,control ,y
7/8/25,12:20,7/9/25,11:39,AN,SYR,3,5,open,n
7/8/25,12:20,7/9/25,11:39,AN,SYR,3,9,control ,n
