start_date,start_time,start_temp,start_weather,end_date,end_time,end_temp,end_weather,location,species,number,sun_expos,plant_location,lawn_dist,bird_dist,bird_type,building_dist,road_dist,tree_dist,patch_diversity,patch_flower_diversity,patch_percent_native,mw_density,nearby_mw,total_num_mw_species,total_mw_stems,num_TUB_stems,num_SYR_stems,num_INC_stems,num_CUR_stems,percent_lawn,habitat,property_trees,mw_height_cm,mw_phenology,nearby_diversity,nearby_flower_diversity,nearby_flower_identity,nearby_tallest_identity,nearby_tallest_height_cm,honeydew,sooty_mold,cat_age,cat_length_mm,cat_treatment,cat_survival,cat_feeding_sites,control_cat_eaten,open_cat_body_present,num_myzo,num_nerii,myzo_leaf,nerii_leaf,num_other_aphid,identity_other_aphid,total_num_aphid
6/24/25,11:40,88,sunny,6/25/25,10:50,83,sunny,ADB,SYR,1,full,edge,16,na,na,30,2,15,13,6,25,3,SYR,3,85,50,30,5,0,,,,120,pre-flowering,2,?,,Purple coneflower,125,n,n,11,10,control,y,0,na,,<50,0,1,0,0,na,<50
6/24/25,11:40,88,sunny,6/25/25,10:50,83,sunny,ADB,SYR,1,full,edge,15,na,na,30,2,15,13,6,25,3,SYR,3,85,50,30,5,0,,,,120,pre-flowering,2,?,,Purple coneflower,125,n,n,11,10,open,y,0,na,,<50,0,0,0,0,na,<50
6/24/25,11:44,88,sunny,6/25/25,10:51,83,sunny,ADB,SYR,2,partial,edge,11,na,na,25,8,10,13,6,25,6,SYR,3,85,50,30,5,0,,,,170,flowering,5,?,,Common milkweed,168,n,n,11,13,control,y,0,na,,50-200,0,8,0,0,na,50-200
6/24/25,11:44,88,sunny,6/25/25,10:51,83,sunny,ADB,SYR,2,partial,edge,10,na,na,25,8,10,13,6,25,6,SYR,3,85,50,30,5,0,,,,170,flowering,5,?,,Common milkweed,168,n,n,11,14,open,n,0,na,,50-200,0,6,0,0,na,50-200
7/1/25,9:01,72,raining,7/2/25,9:19,73,sunny,ADB,SYR,3,full,edge,8,na,na,20,7,10,13,6,25,4,SYR,3,85,50,30,5,0,,,,148,vegetative,3,2,,Common milkweed,150,n,n,13,9,control,y,0,na,,<50,0,3,0,0,na,<50
7/1/25,9:01,72,raining,7/2/25,9:19,73,sunny,ADB,SYR,3,full,edge,7,na,na,20,7,10,13,6,25,4,SYR,3,85,50,30,5,0,,,,148,vegetative,3,2,,Common milkweed,150,n,n,13,6,open,n,0,na,,<50,0,3,0,0,na,<50
7/1/25,9:06,72,raining,7/2/25,9:24,73,sunny,ADB,SYR,4,full,edge,11,na,na,25,4,15,13,6,25,4,SYR,3,85,50,30,5,0,,,,116,flowering,3,2,,purple coneflower,149,n,n,13,18,control,y,1,na,,<50,0,0,0,0,na,<50
7/1/25,9:06,72,raining,7/2/25,9:24,73,sunny,ADB,SYR,4,full,edge,10,na,na,25,4,15,13,6,25,4,SYR,3,85,50,30,5,0,,,,116,flowering,3,2,,purple coneflower,149,n,n,13,16,open,n,0,na,,<50,0,0,0,0,na,<50
7/15/25,10:25,70,cloudy,7/16/25,11:01,81,cloudy,ADB,SYR,1,full,edge,17,na,na,30,2,15,13,6,25,3,SYR,3,85,50,30,5,0,,,,121,fruiting,2,1,,Purple coneflower,139,n,n,10,6,control,n,0,"fully gone, caterpillar seemed sick (prolapse?) at setup",,5-10,0,0,0,0,na,<50
7/15/25,10:25,70,cloudy,7/16/25,11:01,81,cloudy,ADB,SYR,1,full,edge,18,na,na,30,2,15,13,6,25,3,SYR,3,85,50,30,5,0,,,,121,fruiting,2,1,,Purple coneflower,139,n,n,10,5,open,n,0,na,,5-10,0,0,0,0,na,<50
7/15/25,10:21,70,cloudy,7/16/25,10:59,81,cloudy,ADB,SYR,5,full ,edge,9,na,na,20,8,15,13,6,25,2,SYR,3,85,50,30,5,0,,,,95,vegetative,2,1,,Purple coneflower,135,n,n,10,9,control,y,1,na,,1,0,0,0,0,na,<50
7/15/25,10:21,70,cloudy,7/16/25,10:59,81,cloudy,ADB,SYR,5,full ,edge,8,na,na,20,8,15,13,6,25,2,SYR,3,85,50,30,5,0,,,,95,vegetative,2,1,,Purple coneflower,135,n,n,10,6,open,y,0,na,,1,0,0,0,0,na,<50
7/29/25,8:55,74,cloudy,7/30/25,12:30,86,sunny,ADB,SYR,2,partial,edge,13,na,na,25,8,10,13,6,25,6,SYR,3,85,50,30,5,0,,,,185,fruiting,8,1,,pic @ 8:50,179,n,n,8,8,control,n,0,n,,<50,0,0,0,0,na,<50
7/29/25,8:55,74,cloudy,7/30/25,12:30,86,sunny,ADB,SYR,2,partial,edge,12,na,na,25,8,10,13,6,25,6,SYR,3,85,50,30,5,0,,,,185,fruiting,8,1,,pic @ 8:50,179,n,n,8,7,open,n,1,na,y,<50,0,0,0,0,na,<50
7/29/25,9:02,74,cloudy,7/30/25,12:32,86,sunny,ADB,SYR,3,full,edge,10,na,na,20,7,10,13,6,25,4,SYR,3,85,50,30,5,0,,,,162,vegetative,4,1,,Grass,150,n,n,8,7,control,y,1,na,,0,0,0,0,0,na,0
7/29/25,9:02,74,cloudy,7/30/25,12:32,86,sunny,ADB,SYR,3,full,edge,9,na,na,20,7,10,13,6,25,4,SYR,3,85,50,30,5,0,,,,162,vegetative,4,1,,Grass,150,n,n,8,9,open,n,0,na,,0,0,0,0,0,na,0
8/12/25,8:13,71,sunny,8/13/25,9:24,76,raining,ADB,SYR,4,full,edge,13,na,na,25,4,15,13,6,25,4,SYR,3,85,50,30,5,0,,,,123,fruiting,3,1,purple coneflower,Purple coneflower,150,y,n,7,9,control,y,1,na,,0,200-500,0,20,0,na,200-500
8/12/25,8:13,71,sunny,8/13/25,9:24,76,raining,ADB,SYR,4,full,edge,12,na,na,25,4,15,13,6,25,4,SYR,3,85,50,30,5,0,,,,123,fruiting,3,1,purple coneflower,Purple coneflower,150,y,n,7,7,open,y,2,na,,0,200-500,0,50,0,na,200-500
8/12/25,8:19,71,sunny,8/13/25,9:22,76,raining,ADB,SYR,5,full ,edge,11,na,na,20,8,15,13,6,25,2,SYR,3,85,50,30,5,0,,,,96,vegetative,3,1,purple coneflower,Purple coneflower,136,n,n,7,11,control,y,1,na,,1,50-200,0,0,0,na,50-200
8/12/25,8:19,71,sunny,8/13/25,9:22,76,raining,ADB,SYR,5,full ,edge,10,na,na,20,8,15,13,6,25,2,SYR,3,85,50,30,5,0,,,,96,vegetative,3,1,purple coneflower,Purple coneflower,136,n,n,7,12,open,y,0,na,,1,50-200,0,0,0,na,50-200
6/24/25,9:28,68,sunny,6/25/25,10:02,75,sunny,AN,INC,1,shade,edge,0,30,feeder,3,55,20,12,6,50,1,INC,3,115,5,100,10,0,,,,78,pre-flowering,4,?,,Goldenrod,73,n,n,11,10,control,y,3,na,,0,0,0,0,0,na,0
6/24/25,9:28,68,sunny,6/25/25,10:02,75,sunny,AN,INC,1,shade,edge,0,30,feeder,3,55,20,12,6,50,1,INC,3,115,5,100,10,0,,,,78,pre-flowering,4,?,,Goldenrod,73,n,n,11,11,open,n,1,na,,0,0,0,0,0,na,0
6/24/25,9:34,68,sunny,6/25/25,10:03,75,sunny,AN,INC,2,shade,edge,2,25,feeder,1,50,10,12,6,50,2,INC,3,115,5,100,10,0,,,,63,vegetative,4,?,,Grass,79,n,n,11,10,control,y,1,na,,0,0,0,0,0,na,0
6/24/25,9:34,68,sunny,6/25/25,10:03,75,sunny,AN,INC,2,shade,edge,2,25,feeder,1,50,10,12,6,50,2,INC,3,115,5,100,10,0,,,,63,vegetative,4,?,,Grass,79,n,n,11,10,open,y,0,na,,0,0,0,0,0,na,0
6/24/25,9:08,68,sunny,6/25/25,9:54,75,sunny,AN,SYR,1,full,edge,1,15,feeder,45,40,15,10,4,50,3,SYR,3,115,5,100,10,0,,,,115,flowering,3,?,,Common milkweed,124,n,n,11,14,control,y,2,na,,<50,0,1,0,0,na,<50
6/24/25,9:08,68,sunny,6/25/25,9:54,75,sunny,AN,SYR,1,full,edge,1,15,feeder,45,40,15,10,4,50,3,SYR,3,115,5,100,10,0,,,,115,flowering,3,?,,Common milkweed,124,n,n,11,15,open,y,2,na,,<50,0,1,0,0,na,<50
6/24/25,9:21,68,sunny,6/25/25,9:57,75,sunny,AN,SYR,2,full,edge,0,70,feeder,70,20,8,10,4,50,0,na,3,115,5,100,10,0,,,,87,flowering,4,?,,Coneflower,111,n,n,11,15,control,y,2,na,,0,0,0,0,50-200,A. asclepiadis,50-200
6/24/25,9:21,68,sunny,6/25/25,9:57,75,sunny,AN,SYR,2,full,edge,0,70,feeder,70,20,8,10,4,50,0,na,3,115,5,100,10,0,,,,87,flowering,4,?,,Coneflower,111,n,n,11,15,open,y,0,na,,0,0,0,0,50-200,A. asclepiadis,50-200
7/8/25,12:29,80,sunny,7/9/25,11:36,76,cloudy,AN,INC,3,partial,edge,0,25,feeder,3,40,20,12,6,50,1,INC,3,115,5,100,10,0,,,,49,vegetative,7,0,,Grass,57,n,n,6,11,control ,y,2,na,,0,0,0,0,0,na,0
7/8/25,12:29,80,sunny,7/9/25,11:36,76,cloudy,AN,INC,3,partial,edge,0,25,feeder,3,40,20,12,6,50,1,INC,3,115,5,100,10,0,,,,49,vegetative,7,0,,Grass,57,n,n,6,8,open,n,0,na,,0,0,0,0,0,na,0
7/8/25,12:31,80,sunny,7/9/25,11:38,76,cloudy,AN,INC,4,partial,edge,2,25,feeder,25,45,10,12,6,50,2,INC,3,115,5,100,10,0,,,,48,vegetative,8,0,,Aster,70,n,n,6,10,control ,y,2,na,,0,0,0,0,0,na,0
7/8/25,12:31,80,sunny,7/9/25,11:38,76,cloudy,AN,INC,4,partial,edge,2,25,feeder,25,45,10,12,6,50,2,INC,3,115,5,100,10,0,,,,48,vegetative,8,0,,Aster,70,n,n,6,11,open,y,2,na,,0,0,0,0,0,na,0
7/8/25,12:20,80,sunny,7/9/25,11:39,76,cloudy,AN,SYR,3,full ,edge,2,na,na,50,100,20,10,4,50,0,na,3,115,5,100,10,0,,,,79,flowering,5,1,,Grass,62,n,n,6,9,control ,n,0,unclear — totally gone,,0,0,0,0,0,na,0
7/8/25,12:20,80,sunny,7/9/25,11:39,76,cloudy,AN,SYR,3,full ,edge,1,na,na,50,100,20,10,4,50,0,na,3,115,5,100,10,0,,,,79,flowering,5,1,,Grass,62,n,n,6,5,open,n,0,na,,0,0,0,0,0,na,0
7/8/25,12:21,80,sunny,7/9/25,11:42,76,cloudy,AN,SYR,4,shade,middle ,9,na,na,80,150,6,10,4,50,0,na,3,115,5,100,10,0,,,,93,vegetative,3,0,,Grass,53,n,n,6,10,control ,y,0,na,,<50,0,0,0,0,na,<50
7/8/25,12:21,80,sunny,7/9/25,11:42,76,cloudy,AN,SYR,4,shade,middle ,8,na,na,80,150,6,10,4,50,0,na,3,115,5,100,10,0,,,,93,vegetative,3,0,,Grass,53,n,n,6,11,open,n,0,na,,<50,0,0,0,0,na,<50
7/22/25,12:05,74,sunny,7/23/25,11:36,74,cloudy,AN,INC,2,shade,edge,2,25,feeder,1,50,10,12,6,50,2,INC,3,115,5,100,10,0,,,,72,vegetative,6,0,,Aster,90,n,n,4,8,control ,y,0,na,,0,0,0,0,0,na,0
7/22/25,13:05,74,sunny,7/23/25,11:36,74,cloudy,AN,INC,2,shade,edge,2,25,feeder,1,50,10,12,6,50,2,INC,3,115,5,100,10,0,,,,72,vegetative,6,0,,Aster,90,n,n,4,9,open,n,0,na,,0,0,0,0,0,na,0
7/22/25,13:02,74,sunny,7/23/25,11:33,74,cloudy,AN,INC,5,partial,edge,0,30,feeder,1,60,15,12,6,50,0,na,3,115,5,100,10,0,,,,54,vegetative,5,2,,1:01 pic,104,n,n,4,9,control ,y,0,na,,0,0,0,0,0,na,0
7/22/25,13:02,74,sunny,7/23/25,11:33,74,cloudy,AN,INC,5,partial,edge,0,30,feeder,1,60,15,12,6,50,0,na,3,115,5,100,10,0,,,,54,vegetative,5,2,,1:01 pic,104,n,n,4,8,open,n,0,na,,0,0,0,0,0,na,0
7/22/25,13:16,74,sunny,7/23/25,11:38,74,cloudy,AN,SYR,1,full,edge,1,15,feeder,45,40,15,10,4,50,3,SYR,3,115,5,100,10,0,,,,13,fruiting,8,0,,Common milkweed,164,n,n,4,8,control ,y,1,na,,0,0,0,0,0,na,0
7/22/25,13:16,74,sunny,7/23/25,11:38,74,cloudy,AN,SYR,1,full,edge,1,15,feeder,45,40,15,10,4,50,3,SYR,3,115,5,100,10,0,,,,13,fruiting,8,0,,Common milkweed,164,n,n,4,7,open,y,1,na,,0,0,0,0,0,na,0
7/22/25,13:12,74,sunny,7/23/25,11:38,74,cloudy,AN,SYR,5,partial,middle ,4,60,feeder,60,15,5,10,4,50,0,na,3,115,5,100,10,0,,,,37,vegetative,6,1,,Goldenrod,108,n,n,4,6,control ,n,0,"gone, but no holes in bag",,<50,0,0,0,0,na,<50
7/22/25,13:12,74,sunny,7/23/25,11:38,74,cloudy,AN,SYR,5,partial,middle ,4,60,feeder,60,15,5,10,4,50,0,na,3,115,5,100,10,0,,,,37,vegetative,6,1,,Goldenrod,108,n,n,4,9,open,y,1,na,,<50,0,0,0,0,na,<50
8/5/25,12:55,83,sunny,8/6/25,11:50,74,cloudy,AN,INC,2,shade,edge,2,25,feeder,1,50,10,12,6,50,2,INC,3,115,5,100,10,0,,,,72,vegetative,4,0,,pic @ 12:55 (percy),102,n,n,8,10,control,n,0,"y, by orange assassin bug nymph",,0,0,0,0,0,na,0
8/5/25,12:55,83,sunny,8/6/25,11:50,74,cloudy,AN,INC,2,shade,edge,2,25,feeder,1,50,10,12,6,50,2,INC,3,115,5,100,10,0,,,,72,vegetative,4,0,,pic @ 12:55 (percy),102,n,n,8,9,open,n,0,na,,0,0,0,0,0,na,0
8/5/25,12:45,82,sunny,8/6/25,11:48,74,cloudy,AN,SYR,2,full,edge,0,70,feeder,70,20,8,10,4,50,0,na,3,115,5,100,10,0,,,,96,fruiting,6,3,,Purple coneflower,103,n,n,8,9,control,missing,0,na,,0,0,0,0,0,na,0
8/5/25,12:45,82,sunny,8/6/25,11:48,74,cloudy,AN,SYR,2,full,edge,0,70,feeder,70,20,8,10,4,50,0,na,3,115,5,100,10,0,,,,96,fruiting,6,3,,Purple coneflower,103,n,n,8,11,open,n,0,na,,0,0,0,0,0,na,0
8/5/25,12:45,82,sunny,8/6/25,11:53,74,cloudy,AN,SYR,3,full ,edge,4,na,na,50,100,20,10,4,50,0,na,3,115,5,100,10,0,,,,96,fruiting,2,1,,Grass,64,n,n,8,10,control,y,1,na,,<50,0,0,0,0,na,0
8/5/25,12:45,82,sunny,8/6/25,11:53,74,cloudy,AN,SYR,3,full ,edge,3,na,na,50,100,20,10,4,50,0,na,3,115,5,100,10,0,,,,96,fruiting,2,1,,Grass,64,n,n,8,10,open,n,0,na,,<50,0,0,0,0,na,0
6/24/25,10:11,83,sunny,25-Jun,10:20,80,sunny,AW,INC,1,partial,edge,3,20,birdhouse,25,60,15,19,9,25,1,INC,3,45,5,30,10,0,,,,145,pre-flowering,3,?,,Goldenrod,133,n,n,11,13,control ,y,2,na,,0,0,0,0,0,na,0
6/24/25,10:11,83,sunny,25-Jun,10:20,80,sunny,AW,INC,1,partial,edge,3,20,birdhouse,25,60,15,19,9,25,1,INC,3,45,5,30,10,0,,,,145,pre-flowering,3,?,,Goldenrod,133,n,n,11,14,open,n,0,na,,0,0,0,0,0,na,0
6/24/25,10:16,83,sunny,25-Jun,10:18,80,sunny,AW,INC,2,partial,edge,2,20,birdhouse,30,65,15,19,9,25,0,na,3,45,5,30,10,0,,,,119,pre-flowering,6,?,,10:13 photo,168,n,n,11,10,control ,y,1,na,,0,0,0,0,0,na,0
6/24/25,10:16,83,sunny,25-Jun,10:18,80,sunny,AW,INC,2,partial,edge,2,20,birdhouse,30,65,15,19,9,25,0,na,3,45,5,30,10,0,,,,119,pre-flowering,6,?,,10:13 photo,168,n,n,11,11,open,y,0,na,,0,0,0,0,0,na,0
6/24/25,10:26,83,sunny,25-Jun,10:22,80,sunny,AW,SYR,1,shade,edge,11,na,na,20,3,10,10,5,25,1,SYR,3,45,5,30,10,0,,,,78,pre-flowering,2,1,,10:22 photo,27,n,n,11,11,control ,y,1,na,,0,0,0,0,0,na,0
6/24/25,10:26,83,sunny,25-Jun,10:22,80,sunny,AW,SYR,1,shade,edge,10,na,na,20,3,10,10,5,25,1,SYR,3,45,5,30,10,0,,,,78,pre-flowering,2,1,,10:22 photo,27,n,n,11,10,open,n,0,na,,0,0,0,0,0,na,0
6/24/25,10:30,83,sunny,25-Jun,10:24,80,sunny,AW,SYR,2,shade,edge,13,na,na,20,0,8,10,5,25,2,SYR,3,45,5,30,10,0,,,,104,flowering,3,0,,Common milkweed,97,n,n,11,13,control ,y,2,na,,0,0,0,0,0,na,0
6/24/25,10:30,83,sunny,25-Jun,10:24,80,sunny,AW,SYR,2,shade,edge,12,na,na,20,0,8,10,5,25,2,SYR,3,45,5,30,10,0,,,,104,flowering,3,0,,Common milkweed,97,n,n,11,16,open,y,0,na,,0,0,0,0,0,na,0
7/8/25,13:50,81,cloudy,7/9/25,12:10,77,cloudy,AW,INC,3,full ,edge,1,na,na,100,25,15,19,9,25,2,INC,3,45,5,30,10,0,,,,45,vegetative,6,1,,Grass,80,n,n,6,13,control ,y,1,na,,0,0,0,0,0,na,0
7/8/25,13:50,81,cloudy,7/9/25,12:10,77,cloudy,AW,INC,3,full ,edge,0,na,na,100,25,15,19,9,25,2,INC,3,45,5,30,10,0,,,,45,vegetative,6,1,,Grass,80,n,n,6,10,open,y,1,na,,0,0,0,0,0,na,0
7/8/25,13:55,81,cloudy,7/9/25,12:10,77,cloudy,AW,INC,4,full ,edge,1,na,na,100,25,15,19,9,25,0,na,3,45,5,30,10,0,,,,32,vegetative,6,1,,NE Aster,46,n,n,6,7,control ,y,1,na,,0,0,0,0,0,na,0
7/8/25,13:55,81,cloudy,7/9/25,12:10,77,cloudy,AW,INC,4,full ,edge,0,na,na,100,25,15,19,9,25,0,na,3,45,5,30,10,0,,,,32,vegetative,6,1,,NE Aster,46,n,n,6,11,open,y,1,na,,0,0,0,0,0,na,0
7/8/25,13:44,81,cloudy,7/9/25,12:07,77,cloudy,AW,SYR,3,shade,middle,9,na,na,20,5,12,10,5,25,1,SYR,3,45,5,30,10,0,,,,52,vegetative,5,0,,Common milkweed,100,n,n,6,12,control ,y,1,na,,0,0,0,0,0,na,0
7/8/25,13:44,81,cloudy,7/9/25,12:07,77,cloudy,AW,SYR,3,shade,middle,8,na,na,20,5,12,10,5,25,1,SYR,3,45,5,30,10,0,,,,52,vegetative,5,0,,Common milkweed,100,n,n,6,6,open,y,1,na,,0,0,0,0,0,na,0
7/8/25,13:46,81,cloudy,7/9/25,12:08,77,cloudy,AW,SYR,4,full ,edge,1,na,na,30,20,10,10,5,25,0,na,3,45,5,30,10,0,,,,71,pre-flowering,5,1,,Zinnia,15,n,n,6,8,control ,y,0,na,,<50,0,0,0,0,na,<50
7/8/25,13:46,81,cloudy,7/9/25,12:08,77,cloudy,AW,SYR,4,full ,edge,0,na,na,30,20,10,10,5,25,0,na,3,45,5,30,10,0,,,,71,pre-flowering,5,1,,Zinnia,15,n,n,6,11,open,y,2,na,,<50,0,0,0,0,na,<50
